fips_code,pct_no_hs_degree_2000,pct_no_hs_degree_08_12,pct_no_hs_degree_18_22
1001,33.8,33.7867061233781,31.146113267642082
1003,29.6,28.81646250913405,27.775382883691968
1005,32.4,33.29470024233485,36.814710042432814
1007,35.7,41.60974352364995,40.879120879120876
1009,36.0,36.15740381882541,35.313717323664164
1011,35.2,36.02640264026402,41.32196757965344
1013,34.5,38.79696044315035,47.97225991255842
1015,32.2,33.49041543746728,34.55929862791552
1017,32.1,35.04085347783752,39.51671658706387
1019,34.9,33.54050694481976,36.052475300977164
1021,35.8,39.2330281568492,41.611944199418474
1023,34.7,38.29676614328793,38.2235969951392
1025,37.7,41.37330080167306,41.0177958164221
1027,37.8,38.20944898170164,37.411717895155675
1029,35.8,38.05170549493758,38.9934148635936
1031,26.2,29.56388996976862,28.944632892001316
1033,33.9,34.93778996204134,36.635239377984576
1035,38.1,41.22060470324748,48.270102600811256
1037,38.3,43.86115540291917,41.42129457075413
1039,33.0,34.14345669591759,36.27254509018036
1041,29.0,38.94692413210932,42.46829908176651
1043,32.0,32.61712704164314,31.36703511053316
1045,29.2,30.56935190793458,31.32959301807819
1047,33.6,35.26102690888244,39.6551724137931
1049,34.0,35.58634529578788,31.77637697633564
1051,33.8,34.27575814654361,33.810569079055135
1053,34.7,34.90659550133435,44.35411020776874
1055,32.3,32.58759088298334,33.42364023929038
1057,35.0,38.93408600365266,39.8232411620581
1059,30.5,33.81305215161014,40.14331881410706
1061,32.0,37.12440625500346,36.6663154567485
1063,34.9,39.37311431444854,37.12607817948248
1065,35.9,37.54181401127784,37.75551102204409
1067,29.1,36.16422481582651,32.807897460393285
1069,30.4,34.34142050868577,31.99626991742462
1071,34.9,36.4465121282203,37.39523570314359
1073,27.9,27.3825964493972,26.10023835035315
1075,37.5,39.21376882456484,40.86314938346472
1077,34.1,33.60726367524095,34.859983891952176
1079,39.4,39.38300249205122,41.14490161001789
1081,26.7,27.34182569104073,21.734339397108812
1083,32.5,31.02282928203052,27.81009210724404
1085,33.4,38.91506259254274,41.57782515991471
1087,25.0,29.09794812233837,31.675084175084173
1089,21.9,21.91329722599909,19.031817586651954
1091,37.4,37.7711400327146,35.646687697160885
1093,32.9,35.06224066390041,35.48713014192927
1095,30.5,31.89989768907222,31.905531194707287
1097,31.9,33.49395610142394,34.1464547572427
1099,34.4,41.05084966469171,44.028598526300435
1101,24.3,26.47778202885877,25.63093461523223
1103,30.3,31.90487373768587,30.791526262459644
1105,30.4,40.13343217197924,42.90553255551374
1107,37.8,42.24047796863331,41.1124190700412
1109,30.0,35.99055366045658,36.224941421504816
1111,32.0,35.21390719917281,34.85974125784552
1113,33.0,32.22215863568731,29.58262265476071
1115,34.6,34.40707654580487,35.51601754413155
1117,23.0,21.38660489660674,20.1509974291386
1119,31.1,38.99857278782113,32.21376121838455
1121,34.4,37.51567482354628,34.89704908894541
1123,32.9,35.22194651226909,32.11760327502791
1125,28.4,31.75035817870497,29.41271775653534
1127,34.7,35.61903530881751,34.831386232636206
1129,43.6,48.27437072917567,43.819047619047616
1131,30.3,38.44330304227578,40.38760786532748
1133,34.3,30.1232844847639,40.351806094834686
2013,49.0,38.65788390284067,39.36448598130841
2016,34.4,33.5813492063492,41.33644133644134
2020,24.2,23.25502733254045,24.501958909661532
2050,38.6,40.47806082370104,47.85834404985657
2060,34.0,23.18840579710145,28.30188679245283
2063,,,23.77764252383851
2066,,,29.08989391401452
2068,30.4,22.72069464544139,46.83393070489845
2070,33.9,30.60007454342154,41.557546519641626
2090,25.5,25.44349651296634,25.28443357783211
2100,31.1,30.49645390070922,34.436619718309856
2105,,28.32618025751073,33.623503808487484
2110,22.0,22.34759808970878,22.098749291846428
2122,31.8,31.72868258085005,30.829631408332332
2130,29.7,32.87852112676056,28.513527206403893
2150,31.3,22.51251373458674,29.036367848042623
2158,41.2,44.7431302270012,55.676209279368216
2164,39.2,28.40236686390532,45.00768049155146
2170,31.3,31.25702159530645,33.17266600344688
2180,38.1,40.30858244937319,43.40402588066139
2185,35.1,30.41786499746236,43.04696750427575
2188,40.4,42.0066717988196,46.19385342789598
2195,,31.21301775147929,31.809223492313755
2198,,42.42262540021345,36.352686099735
2220,25.3,24.51986754966887,25.76181848130456
2230,,31.67305236270754,34.02061855670103
2240,35.1,30.43089975440947,36.61226290251434
2275,,33.276740237691,33.418858242463116
2282,33.3,25.11627906976744,43.57682619647355
2290,39.4,36.12285150746689,38.887279049550855
4001,24.9,31.73262083574042,32.45381335859782
4003,24.6,24.6078486571702,25.14198909433064
4005,21.6,22.26744483694261,21.04442982304256
4007,28.7,31.88843998436074,30.56234718826406
4009,30.1,33.74058879220955,30.4162219850587
4011,35.1,36.20721900130914,32.38811069354288
4012,33.9,31.89465062062882,32.8404610251744
4013,23.1,23.17514332637948,22.077989029915823
4015,34.9,33.60459057752427,34.44200441618302
4017,27.7,27.78765674341601,29.850999943345986
4019,23.3,22.85370776034988,21.452336485678416
4021,30.4,29.07161301995099,30.71723272931313
4023,22.8,29.01970408807237,25.356922176330936
4025,28.2,26.03326145242102,25.39747933324299
4027,25.7,25.05809968066075,26.43545132675981
5001,39.8,42.7062756419997,42.46782740348221
5003,43.2,43.50362982563267,48.43442746936923
5005,37.5,37.08051022680281,35.16665624413733
5007,32.8,31.04635089006122,28.783467761179782
5009,35.0,38.72365339578454,34.91241431835491
5011,36.8,40.44828030400618,47.107670654468684
5013,43.5,47.36289687745999,45.37839399191219
5015,34.0,37.37436858824142,35.86719524281467
5017,35.3,40.73385397297633,37.86270346779901
5019,32.4,36.71904088167398,31.19768190598841
5021,37.8,43.46550497866287,41.14291239605492
5023,36.4,38.12760128549602,39.37244788308618
5025,43.4,45.40023894862604,43.76501016072418
5027,35.8,36.77427753189274,41.496934244837554
5029,41.4,43.1349234105057,43.209279845335914
5031,32.8,34.3414956982131,33.0871699652558
5033,36.0,36.53301535251155,34.41948750395444
5035,33.1,34.76508779224103,36.340442234724584
5037,38.2,46.67387327457176,42.6941034065364
5039,41.1,50.82562148430411,48.40505245129523
5041,36.0,39.70997679814386,43.67442465219087
5043,34.3,36.14549771070036,36.01687144690996
5045,31.3,31.87280811163773,29.714774450218357
5047,35.4,39.59632425336396,42.55301455301455
5049,39.0,44.11533714798609,38.16031235645384
5051,32.8,32.54836119424775,31.17087956549766
5053,42.3,40.72267239953696,42.644143072408596
5055,40.6,43.27886514634584,44.42254249337555
5057,38.3,35.66151320290054,39.10232313359898
5059,39.7,40.14883061658398,39.34726500707685
5061,37.9,39.55861151158922,42.89241622574956
5063,39.7,39.43850810547272,38.61791820975494
5065,36.5,39.79732388823297,34.51970914657482
5067,38.3,43.77529159723876,44.579525446466
5069,34.8,37.15726127849514,42.29389112550324
5071,36.7,40.38333232243586,40.98056280823904
5073,36.0,43.46645986816596,48.40496233938857
5075,36.7,43.25176911927701,37.54337899543379
5077,29.6,41.92139737991266,49.265299531729376
5079,37.8,40.04686226568867,50.74447886479464
5081,38.2,38.5002186270223,45.466428995840765
5083,38.4,42.75998679432156,43.674302264349656
5085,35.7,34.99454347035286,37.1251708336683
5087,38.9,42.04748052922962,49.47657456667239
5089,38.3,39.94169096209912,37.21941747572816
5091,35.8,39.72155678227962,38.013331951783925
5093,32.1,37.99113127771476,39.9496721061461
5095,38.2,35.45293072824156,41.10249423600922
5097,39.2,39.93194259505844,35.039430957167156
5099,39.2,39.61532245029901,49.79671203818278
5101,37.8,40.8695652173913,37.10847975553858
5103,34.9,40.02808199943836,39.79688987622977
5105,41.4,44.29891079553288,44.50503355704698
5107,26.5,30.28789659224442,31.2464854732896
5109,39.2,37.04145146338234,39.68877050329455
5111,39.5,42.04737732656515,46.883399462434404
5113,36.2,37.95492721164614,36.053566143829535
5115,33.5,34.82959699365038,33.96116079042908
5117,38.8,44.46595676024524,41.9753086419753
5119,27.1,27.43887872866189,25.2900805912734
5121,38.4,40.22065384927395,40.46744313296334
5123,32.8,37.39263318754282,41.90002456398919
5125,37.7,35.76895837873175,30.997551664520024
5127,37.2,38.20939997291074,41.68475900998697
5129,40.6,38.58108108108108,39.134984304150684
5131,31.2,31.63011088857408,30.19458968476704
5133,33.8,32.05251054043695,34.70552272264113
5135,38.3,46.01172784962647,40.924589643961625
5137,38.5,38.978314330427,35.48458149779736
5139,35.5,35.75736076622916,38.16479824859397
5141,36.8,38.75725338491296,40.300790211572775
5143,30.5,28.92835002773337,27.66248710419808
5145,35.7,37.03446160139073,40.10448617734945
5147,36.7,44.39169139465876,47.98267608844313
5149,35.7,40.37649664336632,37.86533881792596
6001,19.0,19.47268311239868,16.24825779302581
6003,26.0,26.34207240948814,20.131086142322097
6005,30.2,27.89900249376559,28.82668254913639
6007,24.3,22.89483400073841,22.34037960657908
6009,28.6,29.51596658569821,31.271885236642945
6011,24.1,24.58576250383553,29.348833892019115
6013,19.8,19.23327592155838,17.57274408306895
6015,27.5,29.83159176219945,27.99410329402196
6017,22.2,22.38084291795144,20.61476399482962
6019,21.1,22.65470927632495,22.748049302361338
6021,26.8,25.63213818966987,31.3234100135318
6023,25.7,25.75065925055953,23.661496389351793
6025,22.0,21.65174475318479,25.302855690964694
6027,31.3,31.14028507126782,27.95125117184683
6029,25.4,26.06129606099111,27.433882609779985
6031,28.9,26.04347637248089,27.010853561061797
6033,29.8,28.9737948461019,28.440085810603737
6035,30.9,25.01208897485493,31.944912398921833
6037,18.8,20.44981432099663,20.438951321702255
6039,25.3,23.19438578251405,23.130900095915997
6041,12.4,12.10698419869416,10.338527392790958
6043,26.3,29.90090478242137,21.770996933662403
6045,26.0,26.21725921668446,25.535963660359407
6047,23.9,24.44189213353324,27.789416212174263
6049,29.4,26.27118644067797,29.411764705882355
6051,20.7,22.33130102304433,19.92106356460324
6053,18.6,20.1151848256176,20.417611016179656
6055,20.5,19.33603622011679,17.37824741428455
6057,23.8,21.83739279588336,19.869125520523497
6059,17.5,17.93250938323986,17.259952213177822
6061,21.3,20.12040038171629,17.36367913842079
6063,27.7,24.17105877643605,27.46127592543975
6065,24.7,25.18774055129023,26.782747804266
6067,22.9,21.61990004602857,21.911888261206606
6069,23.2,23.22857643553946,26.53900709219858
6071,25.0,26.05437265546497,27.221326927535856
6073,19.9,19.00066831624088,18.129135992771147
6075,13.9,13.7053262033455,11.582392998825593
6077,25.2,25.61297650829481,28.35106951494215
6079,21.8,21.1645986198096,18.65591709888301
6081,17.5,17.03423870328169,14.851127292508265
6083,19.0,17.81058318888493,17.23049684948415
6085,15.9,15.71348607545592,13.469906553203545
6087,16.6,15.93497759171454,15.800545037769675
6089,27.6,25.98646940015436,25.779970981432772
6091,28.7,34.34466019417476,33.03690529124055
6093,28.2,26.75216594727199,27.014999688803137
6095,24.5,24.01551356517903,23.767052758821386
6097,20.4,20.1823148553404,18.075192122891014
6099,26.1,27.64384503705968,30.111638650070578
6101,23.6,23.42600232374089,24.105191887483457
6103,30.8,28.22942524345999,30.07824656559819
6105,29.6,27.09671142245573,44.60288377280332
6107,22.9,23.76424189307625,26.355678488916418
6109,29.7,29.2936640721612,24.65183706449926
6111,19.7,18.92227811192148,19.668769770857715
6113,19.8,18.79830980109244,17.977014698821307
6115,27.2,24.34574103676638,25.39728682170543
8001,30.8,29.80829233604714,28.749498217195214
8003,27.1,28.9367572156197,27.66391353115122
8005,20.5,21.1680816912712,19.38984316156425
8007,26.8,25.06063055780113,23.951233560526063
8009,34.3,31.52762730227519,30.790734824281152
8011,35.1,42.13208749203653,43.071512309495894
8013,15.1,12.68807604442927,11.247767662438424
8014,,17.26461038961039,12.502398035529295
8015,29.9,28.17054600826626,24.738878143133462
8017,34.8,30.21680216802168,31.346938775510203
8019,21.5,24.79575748889207,18.696846787910506
8021,33.8,34.30713050163367,33.04539975893933
8023,27.3,31.48885350318472,30.378295758502098
8025,34.5,31.47931759756953,43.832020997375324
8027,28.1,29.62962962962963,21.019276472141538
8029,34.0,35.99165305752132,36.59985152190052
8031,20.0,18.99763517924761,15.39241978241576
8033,33.3,37.44525547445255,39.64341898269533
8035,13.1,13.68810981727854,11.970565128150284
8037,16.5,17.84710672707461,16.802059639563076
8039,27.4,28.98157496214033,24.750394114555966
8041,22.9,21.90100510691978,19.77868455344315
8043,36.7,36.51728907330567,38.364085580612944
8045,26.9,25.7264138025469,24.228776211923094
