fips_code,population_estimate_2020,population_estimate_2021,population_estimate_2022,population_estimate_2023
48009,8556,8702,8849,9029
48011,1852,1840,1857,1832
48013,49128,49817,50736,51784
48015,30132,30431,31070,31677
48017,6866,6803,6803,6672
48019,20998,21528,22120,22637
48021,98057,102276,106395,110778
48023,3463,3458,3462,3463
48025,31038,30836,30992,30850
48027,372258,380399,387454,393193
48029,2015501,2030981,2060191,2087679
48031,11449,11882,12411,13048
48033,642,618,580,572
48035,18252,18499,18707,18996
48037,92923,92282,91712,91687
48039,373493,379121,388234,398938
48041,234505,237612,241931,244703
48043,9560,9473,9344,9513
48045,1419,1400,1439,1445
48047,7048,6969,6902,6848
48049,38043,38135,38443,38709
48051,17682,18109,18690,19475
48053,49483,51146,52567,53991
48055,45945,46940,47849,49859
48057,20064,19782,19682,19696
48059,13747,14098,14247,14374
48061,421480,422636,424911,426710
48063,12428,12602,12721,13000
48065,5792,5714,5816,5878
48067,28442,28573,28538,28659
48069,7334,7366,7287,7227
48071,47019,48727,51309,53876
48073,50493,51150,51432,52217
48075,6661,6787,6841,6788
48077,10257,10311,10499,10738
48079,2561,2480,2522,2509
48081,3300,3304,3322,3352
48083,7688,7722,7822,7842
48085,1075736,1114661,1158995,1195359
48087,2640,2607,2585,2563
48089,20563,20642,20832,21117
48091,163659,174977,184749,193928
48093,13630,13805,13921,14050
48095,3318,3348,3367,3297
48097,41748,42398,43048,43782
48099,83130,84389,84205,84878
48101,1365,1355,1317,1294
48103,4675,4636,4551,4574
48105,3093,3013,2960,2858
48107,5098,5085,4992,4917
48109,2186,2182,2163,2196
48111,7127,7175,7235,7237
48113,2610112,2588235,2601993,2606358
48115,12474,12367,12176,12004
48117,18526,18379,18399,18347
48119,5228,5344,5413,5520
48121,914398,943883,977760,1007703
48123,19833,19949,19754,19929
48125,1758,1734,1736,1711
48127,8579,8479,8360,8257
48129,3279,3361,3289,3214
48131,9810,9998,9706,9604
48133,17766,17826,17893,18037
48135,165490,160758,161057,164494
48137,1420,1429,1428,1393
48139,194317,203187,212323,222829
48141,866606,867499,867239,869880
48143,42719,43381,43837,44195
48145,16960,17113,16956,17286
48147,35801,36723,37075,37571
48149,24471,24690,24934,25474
48151,3678,3675,3626,3612
48153,5370,5292,5239,5090
48155,1088,1056,1063,1079
48157,829109,860305,888919,916778
48159,10369,10497,10665,10735
48161,19440,19788,20032,20441
48163,18412,17543,17716,17987
48165,21699,21878,22140,22523
48167,351590,355560,357387,361744
48169,5817,6269,4498,4517
48171,26748,27293,27501,27733
48173,1115,1136,1139,1141
48175,7020,7133,7120,7144
48177,19681,19636,19816,19930
48179,21199,21128,20980,20916
48181,136099,139563,143198,146907
48183,124251,124130,125559,126243
48185,29440,30145,31170,32384
48187,173697,177301,182702,188454
48189,32465,32208,31966,31761
48191,2795,2842,2818,2818
48193,8248,8230,8313,8619
48195,5252,5120,5111,5071
48197,3558,3546,3525,3490
48199,56350,57133,57840,58261
48201,4734792,4735517,4781337,4835125
48203,68801,69527,70038,70895
48205,5349,5393,5228,5145
48207,5433,5375,5376,5385
48209,243968,255955,269103,280486
48211,3365,3324,3225,3189
48213,82403,83653,84490,86158
48215,872856,879865,888286,898471
48217,35964,36378,37266,38101
48219,21504,21265,21278,21460
48221,62057,64293,66394,67774
48223,36827,37210,37793,38172
48225,22062,21962,21943,22066
48227,34816,34365,30732,30554
48229,3196,3275,3416,3451
48231,100254,103591,108438,113347
48233,20569,20438,20222,20033
48235,1510,1534,1534,1549
48237,8487,8550,8764,8875
48239,14997,15118,15183,15221
48241,32919,32552,32495,32694
48243,1984,1959,1906,1856
48245,256133,253727,251601,251496
48247,4846,4790,4774,4720
48249,38879,38893,38729,38662
48251,180964,187511,195496,202906
48253,19682,19811,20271,20381
48255,14760,14732,14945,15018
48257,147140,158313,172611,185690
48259,44539,46861,49019,50537
48261,348,339,354,343
48263,763,748,744,734
48265,52693,53175,53784,53915
48267,4293,4348,4420,4442
48269,267,256,234,217
48271,3126,3122,3131,3148
48273,30986,30625,30376,30069
48275,3347,3318,3284,3302
48277,50131,50349,50515,51127
48279,13011,12909,12786,12711
48281,21705,22224,22790,23262
48283,6663,6708,6556,6537
48285,20354,20538,20653,20571
48287,17506,17679,17971,18240
48289,15732,16009,16220,16538
48291,92479,97488,102462,108272
48293,22144,22060,22164,22250
48295,3031,2895,2846,2906
48297,11349,11386,11541,11584
48299,21290,22056,22623,22875
48301,65,54,44,43
48303,311578,314642,317761,320940
48305,5609,5645,5738,5761
48307,7588,7522,7468,7452
48309,261193,263721,266162,268583
48311,597,592,569,568
48313,13461,13512,13641,13742
48315,9752,9620,9550,9571
48317,5252,5214,5228,5216
48319,3968,3929,3978,3931
48321,36287,36339,36122,36359
48323,57875,57683,57628,57762
48325,50952,52328,53657,54797
48327,1960,1968,1979,1958
48329,170362,168257,172019,177108
48331,24774,25212,25622,25951
48333,4446,4489,4498,4548
48335,9009,9042,8938,9075
48337,19999,20437,21079,21598
48339,625291,650755,679554,711354
48341,21264,21136,21094,21190
48343,11976,12007,12052,12066
48345,1061,1071,1034,1020
48347,64616,64778,64994,65375
48349,52838,53637,54687,55635
48351,12158,12212,12041,12039
48353,14721,14605,14460,14306
48355,353398,353292,351590,352289
48357,9955,9768,9692,9704
48359,1763,1734,1761,1783
48361,84754,84666,85048,85722
48363,28452,28742,29322,29747
48365,22499,22556,22742,22838
48367,149552,157088,165938,173494
48369,9854,9784,9649,9617
48371,15187,15117,14711,14623
48373,50503,51877,53256,54186
48375,118275,116461,114911,114647
48377,6108,6113,5954,5795
48379,12175,12463,12836,12986
48381,141347,144055,146244,148255
48383,3380,3222,3121,3141
48385,2751,2817,2832,2854
48387,11561,11561,11605,11678
48389,14768,12981,11692,11770
48391,6748,6704,6638,6666
48393,822,801,812,840
48395,16766,16946,17130,17267
48397,109158,116612,123342,131307
48399,9919,9892,9884,9868
48401,52252,52695,52524,53079
48403,9892,10013,10041,10106
48405,7921,7905,7860,7833
48407,27533,27811,28340,28936
48409,68841,69767,70087,70660
48411,5727,5829,5880,5845
48413,2439,2438,2359,2391
48415,16942,16837,16269,16212
48417,3110,3191,3212,3229
48419,23924,23984,24061,24179
48421,2789,2789,2778,2678
48423,234199,237182,241995,245209
48425,9205,9477,9797,9888
48427,65867,65858,65653,65934
48429,9093,9433,9377,9343
48431,1382,1380,1426,1397
48433,1243,1211,1218,1218
48435,3356,3291,3232,3221
48437,6946,7007,6959,6955
48439,2115840,2129695,2155646,2182947
48441,143454,143922,145147,146836
48443,750,721,688,687
48445,11793,11714,11444,11547
48447,1451,1503,1539,1526
48449,31291,31260,31237,31357
48451,120195,119231,118913,119057
48453,1296613,1308868,1327550,1334961
48455,13634,13832,13993,14228
48457,19810,19898,20411,20382
48459,41046,41835,42454,43281
48461,3299,3233,3146,3109
48463,24571,24803,24890,24960
48465,47605,47533,47617,47720
48467,59758,61253,62888,64000
48469,91311,90896,91074,91664
48471,76553,78348,79678,81268
48473,57285,59419,61852,63553
48475,11674,11081,10948,10966
48477,35804,35947,36368,37007
48479,267363,267400,267619,269148
48481,41564,41652,41740,41739
48483,4977,4886,4787,4804
48485,129620,130073,130220,130180
48487,12842,12703,12535,12522
48489,20148,20292,20254,20037
48491,615552,644595,672273,697191
48493,50052,51307,52754,54183
48495,7754,7382,7300,7414
48497,68947,71871,74897,78097
48499,45037,46076,46930,47921
48501,7675,7563,7484,7468
48503,17849,17943,18012,18124
48505,13875,13875,13838,13736
48507,9661,9473,9384,9312
49001,7083,7213,7317,7233
49003,57946,59685,61523,62684
49005,133631,137458,140145,142393
49007,20487,20360,20540,20609
49009,952,982,1015,992
49011,363771,367504,369887,373207
49013,19620,19792,20142,20477
49015,9847,9965,10093,10144
49017,5103,5126,5258,5314
49019,9674,9671,9771,9706
49021,57713,60520,62508,64211
49023,11819,12205,12586,13023
49025,7693,7985,8203,8425
49027,13060,13192,13343,13437
49029,12382,12662,12837,13000
49031,1440,1492,1493,1550
49033,2505,2600,2649,2670
49035,1186983,1186312,1186569,1185813
49037,14521,14498,14406,14358
49039,28526,29124,29691,30277
49041,21554,21894,22043,22344
49043,42489,43179,43045,42759
49045,73355,76775,79955,82051
49047,35672,36229,37104,37747
49049,663595,685973,702692,719174
49051,35055,36246,36597,37144
49053,182015,191513,197730,202452
49055,2503,2560,2634,2614
49057,262988,266569,269460,271926
50001,37355,37408,37555,37720
50003,37301,37431,37343,37183
50005,30182,30457,30587,30610
50007,168395,169338,169357,169481
50009,5920,5970,5997,6010
50011,50046,50430,50719,50994
50013,7276,7428,7490,7467
50015,25924,26149,26103,26060
50017,29295,29630,29880,29943
50019,27403,27591,27562,27516
50021,60484,60728,60353,60271
50023,59757,60033,60115,60142
50025,45860,46150,45899,45966
50027,57738,58350,58150,58101
51001,33392,33410,33223,33239
51003,112510,113882,114845,115676
51005,15180,14988,14715,14595
51007,13267,13306,13368,13480
51009,31312,31385,31472,31396
51011,16154,16398,16703,16864
51013,238814,233436,233678,234162
51015,77574,77764,77939,78247
51017,4185,4090,4061,4051
51019,79559,80242,80741,81525
51021,6256,6177,6138,6179
51023,33643,33998,34100,34125
51025,15822,15959,15831,15749
51027,20245,19876,19383,19087
51029,16828,16950,16988,16978
51031,55639,55344,55065,55270
51033,30921,31405,31940,32640
51035,29148,29098,29118,29239
51036,6746,6608,6568,6610
51037,11542,11499,11400,11336
51041,365311,370931,378290,383876
51043,14814,14940,15331,15466
51045,4875,4886,4858,4843
51047,52768,53772,54290,54973
51049,9666,9703,9751,9878
51051,14074,13860,13733,13640
51053,27891,27997,28099,28343
51057,10598,10571,10630,10598
51059,1148627,1142203,1139309,1141878
51061,73006,74055,74677,75165
51063,15470,15510,15623,15679
51065,27294,27797,28117,28462
51067,54482,55017,55079,55549
51069,91870,93959,94808,95994
51071,16786,16572,16432,16457
51073,38722,39174,39550,40057
51075,24855,25529,26162,27197
51077,15281,15344,15325,15285
51079,20607,21004,21015,21301
51083,33926,33777,33620,33432
51085,110202,111783,112860,114148
51087,334905,334422,334553,334760
51089,50851,50262,49795,49702
51091,2240,2239,2296,2339
51093,38707,39391,40135,40711
51097,6588,6669,6714,6720
51099,26826,27541,27918,28568
51101,17918,18243,18529,19030
51103,10903,10935,10806,10859
51105,22108,22005,21847,21745
51107,422705,428764,432792,436347
51109,37796,39016,40030,41037
51111,11947,12001,12002,12038
51113,13861,13957,14008,14128
51115,8518,8543,8450,8514
51117,30283,30333,30527,30648
51119,10614,10779,10952,10924
51121,99574,98788,98826,98666
51125,14740,14838,14747,14705
51127,23123,23963,24952,26134
51131,12213,12068,11978,12021
51133,11841,12052,12278,12391
51135,15647,15574,15555,15566
51137,36397,37220,38055,38574
51139,23691,23825,23777,23741
51141,17591,17650,17601,17509
51143,60367,60038,59824,59571
51145,30450,31230,31585,32105
51147,21906,21962,21899,22049
51149,43073,42962,43021,42871
51153,482834,485352,487012,489640
51155,33807,33816,33683,33655
51157,7320,7431,7453,7414
51159,8919,9077,9126,9184
51161,96923,96671,96756,97026
51163,22650,22638,22568,22358
51165,83774,84518,85414,86568
51167,25757,25572,25437,25477
51169,21589,21476,21480,21433
51171,44265,44842,44936,45228
51173,29787,29608,29408,29216
51175,17953,18024,17899,17975
51177,140604,144003,146828,149588
51179,157765,161568,163169,165428
51181,6551,6533,6527,6593
51183,10787,10815,10640,10757
51185,40407,39950,39563,39120
51187,40792,40965,41404,41843
51191,53895,53735,53855,54050
51193,18511,18772,18765,19013
51195,36064,35681,35327,35174
51197,28324,28201,28115,28104
51199,70232,71104,71164,70952
51510,159139,155105,155045,155230
51520,17299,17065,16940,16807
51530,6622,6622,6569,6566
51540,46469,45746,45272,44983
51550,249781,251763,252459,253886
51570,18189,18225,18278,18393
51580,5745,5716,5633,5545
51590,42579,42285,42017,41837
51595,5707,5638,5533,5463
51600,24177,24353,24752,25144
51610,14681,14516,14489,14685
51620,8146,8152,8274,8339
51630,27991,28437,28648,28928
51640,6715,6653,6702,6717
51650,137280,137760,137858,137098
51660,51706,51497,51150,51082
51670,23009,23073,22790,22752
51678,7324,7455,7506,7528
51680,78979,79114,79228,79535
51683,42692,42764,42673,42696
51685,17162,17089,16693,16361
51690,13474,13534,13697,13763
51700,186047,184691,183980,183118
51710,237789,234862,232558,230930
51720,3681,3632,3589,3492
51730,33396,33411,33462,33309
51735,12473,12628,12624,12635
51740,97955,97652,96954,96793
51750,16119,16527,16719,16971
51760,226936,227140,228367,229247
51770,99891,98700,97657,97171
51775,25403,25416,25700,25600
51790,25812,25689,25940,25915
51800,94750,96337,98426,100659
51810,459684,458569,455069,453649
51820,22279,22606,22799,23182
51830,15471,15609,15685,15847
51840,28013,28092,27861,27617
53001,20607,20647,20898,20820
53003,22324,22469,22536,22549
53005,207419,210599,212829,215219
53007,79238,79778,80038,79997
53009,77367,78466,77684,77616
53011,505338,512583,516737,521150
53013,3949,4016,4026,4053
53015,111014,111685,112064,112864
53017,43029,43837,44223,44798
53019,7198,7290,7468,7497
53021,97150,98102,98582,99034
53023,2294,2344,2357,2363
53025,99441,100427,101580,102678
53027,75855,76838,77041,77290
53029,86998,87566,86682,86267
53031,33061,33553,33570,33714
53033,2274282,2252980,2265311,2271380
53035,275823,276589,277813,277658
53037,44599,44645,45122,45508
53039,22814,23167,23303,23589
53041,82553,84569,85357,86154
53043,10928,11284,11613,11738
53045,66034,67246,68171,68389
53047,42139,42772,43460,43712
53049,23495,23993,24095,24200
53051,13502,13891,14138,14361
53053,923589,927402,926479,928696
53055,17826,18618,18672,18566
53057,129902,131005,131322,131417
53059,12041,12209,12455,12640
53061,829933,836097,840452,844761
53063,541175,545510,549740,551455
53065,46591,47619,48283,48837
53067,295998,298196,298639,299003
53069,4448,4586,4688,4765
53071,62623,62211,61853,61568
53073,227449,226701,230598,231919
53075,47807,43224,47579,48012
53077,256733,256719,257019,256643
54001,15467,15449,15391,15378
54003,122699,126180,129379,132440
54005,21744,21353,20907,20576
54007,12398,12296,12170,12162
54009,22476,22068,21694,21373
54011,94240,93408,92485,92082
54013,6199,6173,6069,5959
54015,8005,7905,7840,7783
54017,7786,7738,7712,7680
54019,40428,40036,39388,39072
54021,7396,7392,7330,7254
54023,10990,10992,10938,10921
54025,32892,32687,32375,32149
54027,23101,23360,23457,23649
54029,29038,28595,28254,28145
54031,14239,14143,14168,14251
54033,65838,65402,64752,64639
54035,27723,27781,27667,27593
54037,57785,58541,59001,59787
54039,180233,178073,175864,174805
54041,17020,16874,16674,16500
54043,20363,20188,19851,19701
54045,32514,31846,31206,30827
54047,18935,18406,17806,17439
54049,56240,56053,55784,55807
54051,30494,30164,29667,29405
54053,25403,25266,24911,24765
54055,59519,59156,58612,58057
54057,26889,26897,26902,26867
54059,23488,23052,22445,22023
54061,105912,106521,106978,107718
54063,12384,12388,12322,12382
54065,17087,17300,17435,17649
54067,24558,24429,24309,24169
54069,42341,41846,41463,41194
54071,6132,6093,6067,6029
54073,7650,7604,7570,7428
54075,7860,7882,7797,7765
54077,34188,34304,34222,34099
54079,57444,57359,57063,56962
54081,74394,73779,72801,72356
54083,27892,27898,27552,27350
54085,8423,8410,8230,8167
54087,13987,13932,13833,13743
54089,11939,11865,11702,11581
54091,16691,16528,16410,16388
54093,6747,6693,6620,6604
54095,8291,8205,8090,7919
54097,23814,23803,23705,23529
54099,38873,38564,37980,37686
54101,8356,8271,8141,8045
54103,14405,14202,13994,13890
54105,5188,5066,5092,5000
54107,84142,83804,83388,83052
54109,21322,21029,20572,20277
55001,20677,20837,21252,21449
55003,16022,16048,16040,16079
55005,46737,46709,46715,46833
55007,16237,16322,16659,16769
55009,268951,268899,270068,271417
55011,13309,13325,13390,13419
55013,16577,16755,16988,17092
55015,52485,52583,52712,53199
55017,66341,66590,66753,66970
55019,34672,34762,34732,34774
55021,58533,58445,58228,58091
55023,16085,16097,16015,15944
55025,562615,561542,567758,575347
55027,89353,88689,88374,88231
55029,30117,30425,30551,30562
55031,44351,44055,44226,44264
55033,45440,44518,45622,45794
55035,105897,106017,106786,107903
55037,4565,4593,4706,4682
55039,104169,104116,103812,103948
55041,9169,9257,9332,9325
55043,51985,51296,51315,51409
55045,37035,37066,36885,36951
55047,19017,19249,19208,19344
55049,23719,23807,23958,23956
55051,6139,6172,6199,6228
55053,21096,20915,20893,20855
55055,86208,85782,85725,85743
55057,26775,26763,26775,26594
55059,169195,168414,167637,167488
55061,20563,20589,20653,20690
55063,120921,119331,120252,120486
55065,16618,16830,16906,16945
55067,19463,19479,19502,19404
55069,28426,28457,28355,28405
55071,81387,81506,81198,81331
55073,138078,137755,137955,138612
55075,41889,41858,41966,42106
55077,15590,15784,15777,15838
55078,4257,4297,4206,4226
55079,938550,924276,918078,916205
55081,46300,46083,45894,46151
55083,39077,39421,39696,39775
55085,37869,38249,38193,38226
55087,190966,191320,192269,193234
55089,91629,92600,93021,93460
55091,7341,7374,7378,7441
55093,42229,41606,42552,43026
55095,45039,45466,45546,45762
55097,70405,69433,70634,71024
55099,14025,14048,14159,14102
55101,197568,196505,195961,196613
55103,17283,17199,17128,17197
55105,163758,164115,163841,164278
55107,14175,14085,14099,14143
55109,93872,94998,95967,96763
55111,65784,65702,65770,65920
55113,18118,18226,18521,18552
55115,40855,40829,40987,41109
55117,118053,117687,117661,117752
55119,19932,19938,19941,20058
55121,30818,30723,30891,30899
55123,30696,30917,31063,31170
55125,23097,23508,23742,23885
55127,105323,105296,105664,105822
55129,16616,16748,16871,16930
55131,136801,137253,137756,138168
55133,407496,409108,410273,412591
55135,51798,51986,51510,51388
55137,24550,24760,24927,24934
55139,171815,170580,170688,171735
55141,74199,74005,73778,73939
56001,37112,37854,38178,38257
56003,11484,11643,11879,12018
56005,47147,46543,47059,47498
56007,14509,14714,14538,14334
56009,13746,13662,13765,13809
56011,7178,7308,7419,7592
56013,39202,39416,39566,39815
56015,12515,12568,12636,12642
56017,4621,4595,4623,4661
56019,8467,8624,8719,8759
56021,100730,100827,100781,100984
56023,19658,20173,20671,20880
56025,80299,79635,79523,79941
56027,2454,2416,2348,2354
56029,29669,30141,30505,30735
56031,8631,8677,8652,8546
56033,31000,31653,32035,32519
56035,8736,8722,8752,8969
56037,42197,41626,41374,41249
56039,23379,23605,23297,23232
56041,20457,20681,20727,20745
56043,7657,7719,7724,7710
56045,6816,6746,6858,6808
72001,18010,18025,17897,17900
72003,38108,38003,37639,37528
72005,55046,54614,53883,53622
72007,24189,23976,23521,23274
72009,24633,24680,24534,24602
72011,25570,25414,25007,24815
72013,87637,87130,86035,85641
72015,15817,15607,15275,15078
72017,22669,22632,22408,22376
72019,28981,29071,28919,29020
72021,184954,183960,181501,180835
72023,47121,47093,46692,46665
72025,127072,126605,125076,124608
72027,32818,32883,32601,32625
72029,42326,42145,41615,41513
72031,154557,153505,151479,150843
72033,23113,22811,22345,22108
72035,41587,41307,40767,40525
72037,11284,11146,10925,10843
72039,16972,16937,16727,16691
72041,39957,39908,39487,39418
72043,34603,34351,33876,33662
72045,18867,18855,18613,18601
72047,34551,34581,34304,34348
72049,1790,1783,1769,1761
72051,35902,35932,35640,35702
72053,32087,31818,31351,31166
72054,11682,11667,11538,11525
72055,13686,13276,12791,12415
72057,36474,35622,35250,34765
72059,17739,17478,17056,16813
72061,89758,89723,89011,89039
72063,40589,40486,40042,39971
72065,38447,38380,38001,37950
72067,15618,15567,15401,15336
72069,50824,50523,49896,49712
72071,42939,42982,42740,42794
72073,14771,14708,14486,14435
72075,46499,46398,45941,45919
72077,37030,36993,36645,36684
72079,23279,23211,22929,22872
72081,28090,27986,27754,27729
72085,35179,35142,34795,34750
72087,23608,23230,22646,22302
72089,17766,17684,17438,17386
72091,39451,39258,38741,38655
72093,4752,4680,4570,4523
72095,10581,10525,10359,10266
72097,72843,71929,70588,69798
72099,37455,37500,37253,37325
72101,28704,28589,28266,28197
72103,23384,23275,22959,22838
72105,29246,29344,29185,29282
72107,21431,21414,21214,21204
72109,15937,15804,15517,15347
72111,20349,20142,19751,19563
72113,137149,134752,132114,130251
72115,23619,23540,23322,23254
72117,15206,15335,15307,15425
72119,47005,46574,45811,45568
72121,22701,22632,22343,22210
72123,25722,25467,24990,24718
72125,31824,31571,31178,30996
72127,341667,339332,334587,333005
72129,37671,37633,37244,37264
72131,39312,39280,38957,38926
72133,20269,20113,19806,19693
72135,66842,66709,66016,65957
72137,75092,74188,72726,71888
72139,67687,67520,66770,66705
72141,28225,27974,27514,27242
72143,35367,35205,34762,34638
72145,54357,54227,53652,53527
72147,8236,8171,8040,7999
72149,22041,21817,21454,21285
72151,30329,29944,29286,28897
72153,34048,33603,32881,32406
