fips_code,population_estimate_2020,population_estimate_2021,population_estimate_2022,population_estimate_2023
36067,474192,471887,469728,467873
36069,112363,112661,112481,112494
36071,400986,405167,406491,407470
36073,40135,39515,39163,39124
36075,117429,117984,118239,118162
36077,58373,60732,60409,60126
36079,97635,98228,98312,98060
36081,2388864,2329008,2278558,2252196
36083,160871,160622,159421,159305
36085,494598,493547,491358,490687
36087,337367,339786,340357,340807
36089,108329,107823,107089,106940
36091,235793,237846,238468,238711
36093,159289,160046,159694,159902
36095,29753,30132,30091,30105
36097,17864,17789,17609,17507
36099,33516,33414,32586,32349
36101,93309,93087,92505,92162
36103,1522064,1533815,1527974,1523170
36105,78453,79702,79735,79920
36107,48348,48080,47766,47715
36109,99772,105966,104299,103558
36111,181271,183489,182320,182333
36113,65609,65735,65427,65380
36115,61091,60858,60810,60047
36117,91202,91149,90958,90829
36119,1001453,999856,991736,990817
36121,40259,39927,39601,39532
36123,24722,24638,24502,24472
37001,171960,173968,176618,179165
37003,36489,36364,36316,36473
37005,10895,11079,11193,11342
37007,22037,21905,21958,21897
37009,26584,26757,27062,27063
37011,17847,17522,17541,17561
37013,44694,44462,44400,44481
37015,17863,17371,17068,16922
37017,29632,29544,29391,29484
37019,138168,144843,152908,159964
37021,269702,271945,273790,275901
37023,87565,87589,87972,88338
37025,227219,231788,235909,240016
37027,80652,80547,80347,80574
37029,10408,10821,11090,11137
37031,67728,68729,69326,69615
37033,22697,22691,22431,22807
37035,160888,161675,163167,164645
37037,76664,78141,79939,81624
37039,28858,29194,29459,29959
37041,13703,13761,13898,13891
37043,11142,11375,11615,11864
37045,99817,100341,100653,101378
37047,50496,50020,50075,50121
37049,100307,100396,101087,102391
37051,335470,337888,336781,337890
37053,28405,29700,31008,31593
37055,37039,37914,37987,38110
37057,169203,170717,172380,174804
37059,42903,43652,44115,44599
37061,48658,48558,48934,49520
37063,325567,329849,333292,336892
37065,48775,48333,48389,48832
37067,383202,386376,389661,392921
37069,69164,71832,74400,77001
37071,228532,231277,233970,237242
37073,10452,10403,10370,10343
37075,8036,8008,8032,8052
37077,61061,61365,61702,62192
37079,20446,20280,20367,20530
37081,539321,542495,546457,549866
37083,48528,48353,47711,47298
37085,133757,135586,138478,141477
37087,62218,62522,62615,62969
37089,116574,117155,118298,119230
37091,21378,19953,19634,19453
37093,52236,53179,53691,54446
37095,4553,4643,4656,4607
37097,187683,192186,195874,199710
37099,42237,42587,43922,44574
37101,217808,227302,234902,241955
37103,9149,9210,9219,9401
37105,63434,64052,65543,67059
37107,55046,54683,54499,54895
37109,87220,89941,93108,95675
37111,44547,44530,44755,44893
37113,37098,37470,37969,38412
37115,21287,21728,21881,22071
37117,21952,21741,21478,21447
37119,1117423,1126283,1144075,1163701
37121,14900,14975,15048,14999
37123,25731,25862,25841,26085
37125,100296,103044,105491,106898
37127,95157,95204,95820,96551
37129,226326,230019,235784,238852
37131,17433,17116,16827,16715
37133,207757,206018,209031,213676
37135,143602,148693,150253,150626
37137,12300,12342,12234,12423
37139,40577,40807,41168,41444
37141,60639,63020,65698,68521
37143,13018,13117,13221,13377
37145,39187,39148,39343,39737
37147,170390,172235,173610,175119
37149,19390,19714,20012,20060
37151,144425,145154,146196,147458
37153,42914,42805,42573,42324
37155,116309,116142,116466,117365
37157,91195,91211,91966,92518
37159,147167,147937,149673,151661
37161,64486,64616,64945,65507
37163,59085,59022,59027,59601
37165,34290,34285,34350,34376
37167,62642,63100,64231,65699
37169,44572,44625,45136,45532
37171,71373,71257,71482,71462
37173,14103,14128,13936,13916
37175,33048,33272,33373,33549
37177,3241,3379,3473,3461
37179,239470,244259,249172,256452
37181,42540,42101,42154,42301
37183,1130483,1152301,1170778,1190275
37185,18596,18798,18677,18836
37187,10980,10883,10776,10713
37189,54122,54968,55013,54748
37191,117221,116857,117449,118686
37193,65916,65826,65791,66013
37195,78804,78241,78306,78970
37197,37254,37276,37507,37774
37199,18496,18764,18768,18938
38001,2195,2169,2133,2163
38003,10851,10815,10761,10726
