fips_code,unemployment_rate_2020,unemployment_rate_2021,unemployment_rate_2022
45087,8.9,6.300000000000001,4.7
45089,8.0,6.0,4.800000000000001
45091,5.800000000000001,3.6,3.1
46003,2.9,2.0,1.9
46005,3.5,2.4,1.9
46007,4.600000000000001,3.6,3.3
46009,3.7,2.4,1.9
46011,4.0,2.7,2.1
46013,4.0,2.6,2.3
46015,4.0,2.1,1.7
46017,7.4,4.600000000000001,4.5
46019,4.9,2.9,1.9
46021,3.2,2.7,2.6
46023,5.800000000000001,3.2,2.3
46025,3.6,3.2,2.3
46027,4.100000000000001,2.5,2.1
46029,4.5,2.6,2.0
46031,4.5,4.0,3.0
46033,5.5,3.4,2.8
46035,3.8,2.4,1.9
46037,5.2,3.6,3.0
46039,4.800000000000001,3.6,2.9
46041,6.800000000000001,4.9,5.7
46043,2.6,2.1,2.0
46045,2.6,2.2,1.9
46047,5.4,3.4,2.3
46049,3.2,2.3,2.0
46051,3.6,2.9,2.6
46053,3.4,2.4,1.9
46055,2.3,2.4,1.9
46057,3.1,2.2,2.0
46059,2.4,2.1,1.7
46061,4.600000000000001,3.4,2.6
46063,3.2,2.4,2.0
46065,3.0,2.1,1.7
46067,3.4,2.7,2.3
46069,2.8,2.3,2.1
46071,3.8,3.8,3.0
46073,2.3,1.7,1.3
46075,3.4,2.7,2.5
46077,3.3,2.5,1.9
46079,3.4,2.6,2.1
46081,5.7,2.6,1.9
46083,3.3,2.1,1.6
46085,5.300000000000001,3.8,2.5
46087,3.4,2.4,1.7
46089,4.7,3.5,2.7
46091,4.3,3.0,2.8
46093,4.5,2.6,2.1
46095,5.800000000000001,3.9,3.1
46097,4.4,2.7,1.9
46099,4.100000000000001,2.4,1.9
46101,4.7,2.4,2.2
46102,8.9,7.4,4.9
46103,4.800000000000001,2.7,2.0
46105,3.3,2.6,2.1
46107,2.9,2.6,2.3
46109,5.800000000000001,3.9,3.3
46111,3.7,2.6,2.1
46115,3.7,2.7,2.4
46117,3.5,2.5,1.9
46119,2.5,3.2,1.6
46121,5.9,4.100000000000001,3.7
46123,2.8,2.0,1.7
46125,3.6,2.3,1.9
46127,4.600000000000001,3.0,2.2
46129,5.5,4.7,3.5
46135,4.2,2.3,1.8
46137,4.100000000000001,3.9,3.7
47001,6.7,4.0,3.3
47003,8.0,4.3,3.4
47005,7.9,5.0,4.100000000000001
47007,8.4,5.5,5.300000000000001
47009,6.4,3.6,3.1
47011,6.600000000000001,4.3,3.6
47013,7.600000000000001,5.0,4.100000000000001
47015,6.5,3.6,3.0
47017,7.4,4.7,3.9
47019,6.800000000000001,4.4,3.6
47021,5.7,3.3,2.7
47023,5.600000000000001,3.4,3.0
47025,7.4,4.3,3.8
47027,7.800000000000001,5.5,4.600000000000001
47029,10.4,5.800000000000001,5.100000000000001
47031,8.0,4.3,3.4
47033,5.800000000000001,3.7,3.2
47035,7.5,5.0,4.3
47037,8.3,4.4,2.8
47039,8.6,6.0,4.5
47041,9.1,4.7,3.8
47043,6.0,3.6,3.0
47045,7.9,4.800000000000001,3.6
47047,6.2,4.3,3.5
47049,6.300000000000001,4.2,3.8
47051,8.0,4.100000000000001,3.5
47053,6.800000000000001,4.5,3.5
47055,8.3,4.5,3.3
47057,7.100000000000001,4.5,3.8
47059,8.1,4.600000000000001,4.0
47061,10.0,5.800000000000001,4.5
47063,7.100000000000001,4.2,3.6
47065,7.100000000000001,4.3,3.4
47067,8.200000000000001,5.0,4.2
47069,7.9,6.300000000000001,4.2
47071,7.0,4.7,4.0
47073,7.7,4.7,3.9
47075,8.700000000000001,6.100000000000001,4.5
47077,8.1,4.600000000000001,3.6
47079,7.100000000000001,4.3,4.0
47081,5.800000000000001,3.7,2.9
47083,7.800000000000001,5.100000000000001,4.4
47085,6.2,4.100000000000001,3.5
47087,7.9,4.600000000000001,3.9
47089,7.5,4.3,3.6
47091,6.300000000000001,3.7,3.4
47093,5.9,3.4,2.9
47095,8.1,6.100000000000001,5.0
47097,8.8,6.2,4.7
47099,7.800000000000001,4.5,3.5
47101,7.5,5.0,3.6
47103,8.4,4.2,3.2
47105,6.2,3.6,3.2
47107,7.800000000000001,4.800000000000001,4.0
47109,8.4,5.600000000000001,4.600000000000001
47111,6.5,3.9,3.1
47113,7.5,4.7,3.4
47115,7.600000000000001,4.600000000000001,3.9
47117,9.1,4.800000000000001,3.3
47119,8.1,5.0,3.0
47121,8.700000000000001,5.100000000000001,4.4
47123,8.0,4.0,3.4
47125,7.600000000000001,4.7,3.7
47127,5.300000000000001,2.8,2.5
47129,6.300000000000001,4.600000000000001,3.8
47131,6.800000000000001,4.9,3.9
47133,6.300000000000001,3.8,3.4
47135,9.600000000000001,7.600000000000001,5.4
47137,6.0,4.0,3.8
47139,6.800000000000001,4.4,3.7
47141,6.5,3.9,3.4
47143,9.600000000000001,5.100000000000001,4.3
47145,6.4,4.2,3.7
47147,6.100000000000001,3.5,2.8
47149,7.0,3.6,2.7
47151,8.4,5.300000000000001,4.9
47153,7.800000000000001,4.7,4.100000000000001
47155,9.8,4.100000000000001,3.2
47157,9.600000000000001,7.0,4.5
47159,6.100000000000001,3.5,3.0
47161,6.4,4.3,3.9
47163,7.100000000000001,4.4,3.5
47165,6.5,3.5,2.7
47167,6.7,4.5,3.6
47169,6.300000000000001,3.9,3.0
47171,7.9,5.100000000000001,4.3
47173,6.9,4.2,3.8
47175,8.5,5.2,4.2
47177,8.9,5.0,4.2
47179,6.300000000000001,3.8,3.2
47181,6.800000000000001,4.3,4.5
47183,5.7,4.0,3.5
47185,7.100000000000001,4.100000000000001,3.5
47187,4.7,2.6,2.4
47189,6.4,3.4,2.6
48001,5.7,4.9,3.4
48003,8.200000000000001,5.7,3.2
48005,7.7,6.4,4.600000000000001
48007,8.4,7.2,5.300000000000001
48009,5.300000000000001,4.3,3.4
48011,4.3,3.7,2.8
48013,8.6,6.100000000000001,4.0
48015,6.7,5.5,3.9
48017,4.800000000000001,5.0,4.2
48019,5.800000000000001,4.800000000000001,3.7
48021,6.0,4.5,3.3
48023,3.4,3.4,2.7
48025,9.9,8.5,5.800000000000001
48027,7.0,5.800000000000001,4.4
48029,7.600000000000001,5.300000000000001,3.7
48031,3.9,3.4,2.8
48033,3.4,2.3,1.9
48035,5.5,4.600000000000001,3.7
48037,7.4,5.9,4.600000000000001
48039,8.6,6.800000000000001,4.5
48041,5.300000000000001,4.100000000000001,3.1
48043,6.600000000000001,4.600000000000001,3.4
48045,4.7,4.800000000000001,3.5
48047,10.7,9.1,6.0
