fips_code,crime_rate_per_100000,crime_id,murder,rape,robbery,burglary
8125,68.95872328,2569,2,3,0,7
21129,68.87052342,2570,0,2,1,17
29197,68.83891693,2571,0,0,0,6
55109,68.66053765,2572,1,8,3,175
39167,68.5043223,2575,0,12,4,283
31135,68.46970216,2576,0,2,0,4
21115,68.23318692,2580,2,3,4,77
31129,67.98096533,2582,0,0,0,6
27163,67.72018183,2583,2,39,25,926
55121,67.60868095,2584,0,11,2,68
17139,67.22237161,2587,0,2,0,32
28141,66.5676686,2594,1,4,1,48
40151,66.36434023,2595,0,0,0,20
29151,65.75102279,2599,0,1,0,59
36107,65.68079135,2602,0,0,7,148
21163,65.04621705,2607,0,3,4,111
51119,65.04367218,2608,0,4,0,19
39109,64.7724746,2611,1,17,35,561
2170,64.08101521,2613,0,4,8,77
21205,63.75653504,2615,0,6,4,66
47127,63.48198699,2616,0,0,0,20
39131,63.45401347,2617,3,3,5,88
21105,63.22444679,2619,0,0,0,11
27171,63.04973924,2620,0,12,8,233
13267,62.68118781,2622,0,2,2,129
48447,62.5,2623,0,0,0,1
5101,62.00396825,2627,0,5,0,12
55133,61.95362111,2629,4,38,48,746
13231,61.81164307,2630,0,3,2,44
29199,60.96321886,2633,0,0,0,24
13189,60.28286575,2636,1,1,1,107
48229,60.27727547,2637,0,0,0,11
28155,60.07810153,2638,0,0,1,13
13283,59.59475566,2643,0,0,0,26
19159,59.14826498,2644,0,0,0,3
29111,59.10165485,2646,0,1,1,35
5125,58.91710364,2650,0,1,2,56
18113,58.86062645,2651,0,7,2,145
5017,58.79301401,2652,1,7,1,192
17203,58.56440812,2654,0,3,1,66
18121,58.13277526,2659,0,2,1,17
48425,57.75005775,2663,0,0,0,48
21127,56.76084763,2669,0,1,0,56
21215,56.69898509,2670,0,4,2,53
21207,56.33168094,2671,0,2,3,49
21197,56.02689291,2672,0,1,1,85
5119,55.85392052,2674,1,8,2,231
31153,55.51257596,2675,1,37,22,331
28139,54.33798225,2686,0,0,1,53
51145,53.08043455,2694,0,1,2,67
48137,53.07855626,2695,0,0,0,6
28109,52.65833818,2702,0,3,9,141
19149,52.0895941,2706,2,3,0,52
39125,51.93725979,2708,0,3,1,63
18153,51.83056118,2710,3,1,0,64
39107,51.4907807,2713,1,9,1,133
13259,51.12474438,2718,0,0,1,16
21229,50.52631579,2723,0,1,1,39
31185,50.42137866,2725,0,2,4,47
21123,49.77246871,2726,0,1,1,37
51143,49.65879601,2728,2,6,8,209
55123,49.45761482,2729,0,5,0,59
21137,49.24086992,2731,1,2,4,55
31147,49.23076923,2732,0,0,0,9
29103,49.17629702,2733,0,0,0,15
39157,48.55835635,2734,1,8,10,275
19107,48.40739665,2736,0,0,0,7
21177,48.10930434,2737,0,5,1,53
21185,48.10467577,2738,1,8,6,235
39171,48,2740,0,7,1,139
18171,47.53416518,2742,0,0,0,0
31159,46.81373983,2747,0,4,0,25
21153,46.33204633,2753,1,1,0,20
13197,46.2962963,2755,0,0,0,18
48299,46.28677227,2756,0,1,0,134
18123,46.01697515,2757,2,2,0,35
18109,45.85709782,2759,1,5,4,175
20187,45.57885141,2763,0,0,0,1
21223,45.37205082,2764,0,1,0,6
18133,45.32728969,2765,2,5,0,98
17173,45.21000045,2766,0,0,0,46
17133,44.78547756,2770,0,8,0,48
18145,44.71372041,2771,0,2,2,138
39137,44.00375499,2774,1,6,2,41
48109,43.91743522,2775,0,0,1,4
17141,43.9056982,2776,1,1,1,106
18151,43.65795448,2778,2,4,6,174
21135,43.45936549,2780,0,2,0,43
5117,43.32755633,2782,1,0,1,7
18147,42.97173415,2785,5,5,0,2
5013,42.93688278,2786,0,0,0,32
5147,42.42081448,2789,0,1,1,8
21149,42.12299916,2790,0,1,0,21
18183,42.04961855,2791,0,2,1,27
27157,41.97173903,2793,0,2,1,39
20115,40.91987888,2802,0,0,0,35
31123,40.74979625,2803,0,0,0,6
22107,40.74979625,2804,0,0,0,7
55141,40.56301464,2805,1,7,10,269
46127,40.46125835,2806,0,0,0,18
39175,40.09444469,2809,0,3,1,29
27129,39.56217856,2813,0,2,0,31
39147,39.34613871,2815,0,4,6,207
18129,39.23722828,2817,0,1,3,107
19121,38.83997929,2820,0,1,0,45
48247,38.13155386,2827,1,0,0,2
21133,38.10491553,2829,1,3,1,62
31131,38.09040122,2830,0,2,1,42
21195,37.86683496,2831,2,7,5,101
21171,37.449677,2832,0,1,0,8
19131,37.3517602,2833,0,1,0,27
21203,35.94320973,2843,0,1,2,93
20201,35.53028957,2847,0,1,0,3
21143,35.49875754,2848,0,1,0,18
46137,35.2858151,2849,0,0,0,3
31177,34.61405331,2853,0,2,2,20
17155,34.47681434,2855,0,2,0,11
20189,34.38789546,2857,0,0,0,1
55119,33.9640951,2858,0,5,0,55
19105,33.96244724,2859,0,0,0,39
31155,33.44641407,2864,0,1,1,36
13209,33.25573661,2865,0,2,0,4
5111,32.77613897,2867,0,0,1,34
55125,32.75926619,2868,0,1,1,62
31179,31.87759005,2871,0,0,0,5
51775,31.62180323,2873,0,0,5,75
39123,31.58943455,2874,0,1,5,152
48413,31.19151591,2876,0,0,0,9
39127,30.55810206,2879,0,2,2,48
21233,29.73535534,2882,0,1,0,23
48461,29.65599051,2883,0,0,0,6
48417,29.62962963,2885,1,0,0,8
37103,29.36857562,2886,0,0,1,4
19191,28.57959417,2890,0,3,0,9
18155,28.50085503,2891,0,1,0,2
5121,28.26136107,2893,0,0,0,40
55103,28.22148219,2894,0,0,0,12
31139,27.97202797,2895,0,0,0,6
48383,27.77006387,2896,0,0,0,9
